ID,First Name,Last Name,Gender,Age,Phone,Address,Type
1,John,Doe,M,45,55512342,123 Maple St,Cardiologist
2,Jane,Smith,F,38,55556781,456 Spark St,Neurologist
3,James,Brown,M,50,55587652,789 Pine St,Dentist
4,Emily,Davis,F,42,55543213,101 Birch St,Dermatologist
5,Michael,Wilson,M,55,55523451,202 Cedar St,Pediatrician
6,Linda,Johnson,F,37,55534569,303 Elm St,Oncologist
7,Robert,White,M,48,55545677,404 Spruce St,Orthopedist
8,Patricia,Lee,F,44,55556788,505 Walnut St,Gynecologist
9,Charles,Clark,M,60,55567896,606 Aspen St,Surgeon
10,Barbara,Hall,F,35,55578903,707 Cherry St,Neurologist
